Trn# (Internal);OR_DEAL_NO;GID_ORG;TT deal number reference;Trn.Date;Date: Period value date;Counterpart;Instrument;Buy / Sell Flag (B/S);Nominal currency;Nominal amount;Price in display format;XSW Leg2 Price;Original Deal Contract Rate;Status (LIVE/MKT_OP/DEAD);AGENT;PURPOSE;Trader;CONTACT;Original Typology;Val status;NOS_ACC Credit;NOS_ACC Debit;SETL_MOD Credit;SETL_MOD Debit;
8831824;8750273;2962036;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;148309.63;35.1213;35.2;35.2;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831832;8735881;2947252;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;94448.35;35.489;35.5675;35.5675;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831854;8735900;2947271;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;237111.23;35.489;35.5675;35.5675;LIVE;HYT;SB;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8832017;8709881;2920725;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;258048;35.6201;35.69;35.69;LIVE;FRC;IW;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8832031;8652338;2861372;0;09/05/2016;09/05/2016;C_11447;USD/THB;B;USD;44850.1;36.34659;36.39627;36.39627;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832039;8669520;2879130;0;09/05/2016;09/05/2016;C_11447;USD/THB;B;USD;201320.57;36.04901;36.10194;36.10194;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831473;8700721;2911371;0;09/05/2016;09/05/2016;C_941;USD/THB;B;USD;11581.85;35.5644;35.75;35.75;LIVE;PHY;TT;VAI09054;thanaporn;PROFWD;CONF;;;CORP;CORP;
8831486;8700721;2911371;0;09/05/2016;09/05/2016;C_941;USD/THB;B;USD;19633.91;35.5644;35.75;35.75;LIVE;PHY;TT;VAI09054;thanaporn;PROFWD;CONF;;;CORP;CORP;
8831490;8700721;2911371;0;09/05/2016;09/05/2016;C_941;USD/THB;B;USD;13564.69;35.5644;35.75;35.75;LIVE;PHY;TT;VAI09054;thanaporn;PROFWD;CONF;;;CORP;CORP;
8832051;8686606;2896778;0;09/05/2016;09/05/2016;C_11447;USD/THB;B;USD;251493.25;35.87298;35.93194;35.93194;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832053;8701174;2911837;0;09/05/2016;09/05/2016;C_11447;USD/THB;B;USD;701.3;35.56976;35.64104;35.64104;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832058;8817984;3031383;0;09/05/2016;09/05/2016;C_5800;USD/THB;B;USD;150000;35.1586;35.162;35.162;LIVE;FRC;IW;VAI09054;waruedee;PROFWD;CONF;;;CORP;CORP;
8832060;8820561;3034014;0;09/05/2016;09/05/2016;C_5800;USD/THB;B;USD;100000;35.0245;35.0305;35.0305;LIVE;FRC;IW;VAI09054;waruedee;PROFWD;CONF;;;CORP;CORP;
8831497;8634894;2843316;0;09/05/2016;09/05/2016;C_2252;USD/THB;B;USD;33095;36.2488;36.2625;36.2625;LIVE;PHY;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8831533;8823165;3036669;0;09/05/2016;09/05/2016;C_1519;USD/THB;B;USD;22863.52;34.9563;34.97;34.97;LIVE;PHY;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8832062;8812841;3026059;0;09/05/2016;09/05/2016;C_4033;USD/THB;B;USD;69171.5;35.1;35.1;35.1;LIVE;FRC;IW;VAI09054;uruchana;STRFWD;CONF;;;CORP;CORP;
8832068;8820576;3034031;0;09/05/2016;09/05/2016;C_5800;USD/THB;B;USD;237636.2;35.0245;35.0305;35.0305;LIVE;FRC;IW;VAI09054;wanruedee;PROFWD;CONF;;;CORP;CORP;
8831553;8677913;2887780;0;09/05/2016;09/05/2016;C_1519;USD/THB;B;USD;24662.99;35.8731;35.889;35.889;LIVE;PHY;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8831579;8812810;3026027;0;09/05/2016;09/05/2016;C_1519;USD/THB;B;USD;32565.45;35.1495;35.167;35.167;LIVE;PHY;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8831595;8737032;2948416;0;09/05/2016;09/05/2016;C_3326;EUR/THB;B;EUR;1021.02;39.1494;39.4;39.4;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831614;8741685;2953185;0;09/05/2016;09/05/2016;C_3326;EUR/THB;B;EUR;2320.5;38.7796;39.03;39.03;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831640;8744221;2955800;0;09/05/2016;09/05/2016;C_3326;EUR/THB;B;EUR;1130.48;39.4746;39.72;39.72;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831680;8717086;2928062;0;09/05/2016;09/05/2016;C_7688;EUR/THB;B;EUR;17602.5;39.3684;39.52;39.52;LIVE;RYG;TT;VAI09054;thanaporn;PROFWD;CONF;;;CORP;CORP;
8831885;8735900;2947271;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;237111.23;35.489;35.5675;35.5675;LIVE;PHY;SB;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831895;8735900;2947271;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;237111.23;35.489;35.5675;35.5675;LIVE;HYT;SB;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831900;8735900;2947271;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;237111.23;35.489;35.5675;35.5675;LIVE;HYT;SB;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831908;8735900;2947271;0;09/05/2016;09/05/2016;C_1339;USD/THB;B;USD;237111.25;35.489;35.5675;35.5675;LIVE;HYT;SB;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8831926;8811692;3024885;0;09/05/2016;09/05/2016;C_7650;USD/THB;B;USD;48359;35.1566;35.25;35.25;LIVE;FRC;IW;CJT08153;uruchana;PROFWD;CONF;;;CORP;CORP;
8832128;8724007;2935122;0;09/05/2016;09/05/2016;C_374;GBP/THB;B;GBP;24616.71;49.6816;49.8208;49.8208;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832339;8767257;2979473;0;09/05/2016;09/05/2016;C_374;USD/THB;B;USD;98165;35.31562;35.40224;35.40224;LIVE;SIL;TT;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832386;8584933;2792033;0;09/05/2016;09/05/2016;C_1483;USD/THB;B;USD;323782.67;36.0151;36.0325;36.0325;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832414;8708210;2919021;0;09/05/2016;09/05/2016;C_1676;USD/THB;B;USD;214056.2;35.6516;35.7175;35.7175;LIVE;PKT;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8832422;8635523;2843974;0;09/05/2016;09/05/2016;C_1676;USD/THB;B;USD;214056.2;36.2215;36.255;36.255;LIVE;PKT;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8832424;8708210;2919021;0;09/05/2016;09/05/2016;C_1676;USD/THB;B;USD;178057.04;35.6516;35.7175;35.7175;LIVE;PKT;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8832428;8635523;2843974;0;09/05/2016;09/05/2016;C_1676;USD/THB;B;USD;37816.56;36.2215;36.255;36.255;LIVE;PKT;TT;VAI09054;uruchana;PROFWD;CONF;;;CORP;CORP;
8832453;8798119;3010998;0;09/05/2016;09/05/2016;C_1356;USD/THB;B;USD;59700;35.1134;35.161;35.161;LIVE;FRC;IW;VAI09054;kitima;PROFWD;CONF;;;CORP;CORP;
8832287;8823942;3037472;0;09/05/2016;09/05/2016;C_764;EUR/THB;B;EUR;400124.58;40;40.32;40.32;LIVE;FRC;IW;VAI09054;THANAPORN;PROFWD;CONF;;;CORP;CORP;
8832712;8714603;2925524;0;09/05/2016;09/05/2016;C_374;GBP/THB;B;GBP;32383.29;50.52362;50.64566;50.64566;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831075;8826671;3040265;0;09/05/2016;09/05/2016;C_15122;USD/THB;B;USD;28000;34.9;34.96;34.96;LIVE;FRC;IW;CJT08153;theerith;PROFWD;CONF;;;CORP;CORP;
8830472;8777070;2989471;0;09/05/2016;09/05/2016;C_576;USD/THB;B;USD;10542.26;35.2291;35.31;35.31;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830947;8762139;2974222;0;09/05/2016;09/05/2016;C_5571;USD/THB;B;USD;1374.56;34.9778;35.0625;35.0625;LIVE;KSM;TT;CJT08153;niparat;PROFWD;CONF;;;CORP;CORP;
8830949;8763826;2975965;0;09/05/2016;09/05/2016;C_5571;USD/THB;B;USD;9073.44;35.028;35.115;35.115;LIVE;KSM;TT;CJT08153;niparat;PROFWD;CONF;;;CORP;CORP;
8830956;8819733;3033160;0;09/05/2016;09/05/2016;C_11135;USD/THB;B;USD;29824.35;35.273;35.32;35.32;LIVE;FRC;IW;CJT08153;thanvarat;PROFWD;CONF;;;CORP;CORP;
8830966;8829545;3043200;0;09/05/2016;09/05/2016;C_6108;USD/THB;B;USD;258300;35.15;35.24;35.24;LIVE;CHM;PC;CJT08153;yupa;PROFWD;CONF;;;CORP;CORP;
8830970;8763826;2975965;0;09/05/2016;09/05/2016;C_5571;USD/THB;B;USD;30058.63;35.028;35.115;35.115;LIVE;KSM;TT;CJT08153;niparat;PROFWD;CONF;;;CORP;CORP;
8831133;8826671;3040265;0;09/05/2016;09/05/2016;C_15122;USD/THB;B;USD;17334.05;34.9;34.96;34.96;LIVE;FRC;IW;CJT08153;theerith;PROFWD;CONF;;;CORP;CORP;
8831609;8624382;2832598;0;09/05/2016;09/05/2016;C_5732;USD/THB;B;USD;88078.31;36.1727;36.2;36.2;LIVE;SIL;TT;SKN40507;wi;PROFWD;CONF;;;CORP;CORP;
8831569;8804461;3017511;0;09/05/2016;09/05/2016;C_6859;USD/THB;B;USD;5000;34.9182;35;35;LIVE;SIL;TT;CJT08153;somruedee;PROFWD;CONF;;;CORP;CORP;
8831598;8814335;3027598;0;09/05/2016;09/05/2016;C_6859;USD/THB;B;USD;5000;35.1648;35.24;35.24;LIVE;SIL;TT;CJT08153;somruedee;PROFWD;CONF;;;CORP;CORP;
8830111;8764550;2976715;0;09/05/2016;09/05/2016;C_12156;USD/THB;B;USD;95355;35.0146;35.06;35.06;LIVE;FRC;IW;VAI09054;saaksorn;PROFWD;CONF;;;CORP;CORP;
